,_id,phoneNumber,storeName,ownerName,storeNumber,gstNumber
0,AL-R202307-023,9885576660,M/S SHIVA MEDICAL AND GENERAL STORES(UPPAL), Venkateswaralu,9885576660,
1,AL-R202307-028,8978608179,ARGKR MEDICAL AND GENERAL STORES,Mohammed Nayeem,8978608179,
2,AL-R202307-030,9030835495,BHARANI MEDICAL AND GENERAL STORE ,VENKATESHAM B,9030835495,
3,AL-R202307-032,8179073193,OLIVE MEDICAL ,shaik Ibrahim ,8179073193,
4,AL-R202307-034,8106240959,JAYASHREE MEDICAL AND GENERAL STORE,Tarun kumar,8106240959,22AAAAA0000A1Z5
5,AL-R202307-037,7981447965,SRI RAJA RAJESHWARA MEDICAL AND GENERAL ,nagarjun,7207671824,
6,AL-R202307-040,9866436548,SRI MAATHA MEDICAL  HALL ,Padmarao ,9866436548,
7,AL-R202307-041,9177787544,SRI SAI MEDICAL AND MEDICAL ,suresh sreepathi,9177787544,
8,AL-R202307-045,9603528091,BHAVANI MEDICAL ,srinivas ,9603528091,
9,AL-R202307-046,9199120392,HEALTH POINT MEDICAL HALL                    ,khader reddy ,9199120392,
10,AL-R202307-047,9912039293,HEALTH POINT MEDICAL HALL,khader reddy ,9912039293,
11,AL-R202307-048,9849710503,M/S SHRI BALAJI MEDICAL ANDGENERAL STORES    ,A Srinivas,9849710503,
12,AL-R202307-049,9666324436,SRI BALAJI MEDICAL ,Balaji ,9666324436,36TESTA0772R1ZF
13,AL-R202307-050,9182008156,SRI LAKSHMI MEDICAL,madhu,9182008156,
14,AL-R202307-051,9959630756,M/S SRI VENKATESHWARA MEDICAL AND GENERAL STORE,amarnath ,9959630756,
15,AL-R202307-052,9849843350,M/S MARUTHI MEDICAL AND GENERAL STORES       ,manohar ,9849843350,
16,AL-R202307-053,8074002046,M/S BUDZET PHARMACY                          ,naresh ,8074002046,36EEMPK2337L1Z3
17,AL-R202307-054,9440917520,SRI SAI GOKUL MEDICAL ,ligam ,9440917520,
18,AL-R202307-055,9505112524,SRI LAXMI NARSIMHA MEDICAL ,ramu,9505112524,
19,AL-R202307-056,9848276349,M/S GARUDA MEDICAL CENTER                    ,Premnath Rao,9848276349,
20,AL-R202307-057,9908626063,M/S SRI VENKATESWARA SWATHI MEDICAL AND GENERAL STORE ,Prasad,9908626063,36TESTA0124A1ZF
21,AL-R202307-058,9182211286,NANDINI MEDICAL ,uppulaiah chinnam,9182211286,
22,AL-R202307-059,9884994661,VENKATESWARA,marlayellaswamy,9849946619,
23,AL-R202307-060,9704440609,SST MEDICAL & GENERAL & STORE,Tirupathi Yadav ,9391188552,36AMIPG0537E1ZF
24,AL-R202307-061,7893562037,SRI SAI VENKATESHWARA MEDICAL GEN,Naveen reddy,7789356203,
25,AL-R202307-062,9885595649,VENKATA SAI MEDICAL,shiva,9885595649,
26,AL-R202307-063,9391270971,SUNSHINE MEDICAL ,mohd Riyaz Khan ,9133121783,
27,AL-R202307-064,7032899404,ANJALI MEDICAL ,Chandra shekhar ,7032899404,
28,AL-R202307-065,8125646517,RATNA SREE PHARMACY ,lowkik Varma ,8125646517,36BKZPK3482N1Z4
29,AL-R202307-066,8106868880,SRI SAI BHARGAVA MEDICAL ,k santosh Kumar ,8106868880,
30,AL-R202307-067,9246337626,ABHINAV MEDICAL & GENERAL STORES,R narendar ,9246337626,
31,AL-R202307-068,8125560646,SHIVA PRIYA MEDICAL ,venkateshwari,8125560646,
32,AL-R202307-069,7416843138,MADHU PHARMACY ,teja,7416843138,
33,AL-R202307-070,9885156761,SRI RAJARAJESHWARA ,kranthi,9885156761,
34,AL-R202307-071,9059616552,AS HEALTH PHARMACY ,shaik sony,9963303887,
35,AL-R202307-072,9032643141,SRI MADHU MEDICAL ,nagesh,9032643141,
36,AL-R202307-073,9014378132,MS MAHESHWARI MEDICAL AND GENERAL STORE ,Sandeep ,9014378132,
37,AL-R202307-074,9397840644,JAI JAGANNATH MEDICAL ,Boga madhusudan ,9397840644,
38,AL-R202307-075,9000117605,AKSHAYA MEDICAL ,Sudhakar ,9000117605,
39,AL-R202307-076,8179777376,RAGHAVI MEDICAL ,deepthi rayi,8179777376,
